C021.DE	GER
S6X0.DE	GER
O023.L	LSE
CORN	PCX
NOBL	PCX
CEMR.MU	MUN
ITWN.SW	EBS
IDLB	NGM
UIMK.SG	STU
IEBB.SW	EBS
SDEM	PCX
IUSP.SG	STU
JBGOGA.SW	EBS
EL40.HM	HAM
XCS5.F	FRA
500U.PA	PSX
GDX.SW	EBS
124661.L	LSE
XBAC.SW	EBS
6PSJ.F	FRA
LYY1.BE	BER
U1FA.F	FRA
LPET.L	LSE
P63974.MI	MIL
PSLV.A	ASE
EMRE	PCX
DBPY.DE	GER
GLD.MI	MIL
XMKS.DU	DUS
114260.KS	KSC
UTLT	PCX
AJEUAS.SW	EBS
NDXH.SW	EBS
UC74.L	LSE
LYQI.HM	HAM
JJU.A	ASE
NBF_11AGK_A016.ST	STO
JP4H.SG	STU
THD	PCX
EL47.DU	DUS
AUDP.L	LSE
125627.L	LSE
LYYK.F	FRA
VAF.AX	ASX
95BO.L	LSE
228810.KS	KSC
C005.SG	STU
FLTR.MX	MEX
13042145.SW	EBS
X015.SW	EBS
QVAL.A	ASE
J40B.BE	BER
WTID.L	ISE
BEAR-ADEL-X3-H.ST	STO
IVOG	PCX
XMK2.SG	STU
CLEA.SW	EBS
GRES	PCX
SXRZ.SG	STU
MLPN	PCX
XCR.TO	TOR
RTWO.MI	MIL
DBPK.F	FRA
116982.L	LSE
ONEK.A	ASE
124901.L	LSE
UB55.L	LSE
ARTH4CK15-2.MX	MEX
3782002.SG	STU
UBUD.DU	DUS
PSDAX-57.TA	TLV
LYP9.SG	STU
XRSM.F	FRA
BSCE	PCX
17UN.L	LSE
HEZU.A	ASE
C540.F	FRA
TBZ	PCX
540I.DU	DUS
ICF.MX	MEX
EICT.BK	SET
BSJH	PCX
75MH.L	LSE
SPXJ.L	LSE
EUNL.DU	DUS
DBX1.DE	GER
CALU.SW	EBS
23929909.F	FRA
JNK.MX	MEX
25883159.IR	ISE
6PSE.SG	STU
GUR.A	ASE
QDVK.SG	STU
77DP.L	LSE
ZPRS.SG	STU
XRL2.SW	ISE
QRI.TO	TOR
H4Z9.DE	GER
LGRA.MI	MIL
12429083.SG	STU
DXJC	PCX
JPYP.L	LSE
WEET	PCX
22619098.IR	ISE
EL4G.HM	HAM
PBW.A	ASE
176950.KS	KSC
