S1,Sample Start,Track Start,Track End
0,19940101,19990101,20020101
1,19940201,19990201,20020201
2,19940301,19990301,20020301
3,19940401,19990401,20020401
4,19940501,19990501,20020501
5,19940601,19990601,20020601
6,19940701,19990701,20020701
7,19940801,19990801,20020801
8,19940901,19990901,20020901
9,19941001,19991001,20021001
10,19941101,19991101,20021101
11,19941201,19991201,20021201
12,19950101,20000101,20030101
13,19950201,20000201,20030201
14,19950301,20000301,20030301
15,19950401,20000401,20030401
16,19950501,20000501,20030501
17,19950601,20000601,20030601
18,19950701,20000701,20030701
19,19950801,20000801,20030801
20,19950901,20000901,20030901
21,19951001,20001001,20031001
22,19951101,20001101,20031101
23,19951201,20001201,20031201
24,19960101,20010101,20040101
25,19960201,20010201,20040201
26,19960301,20010301,20040301
27,19960401,20010401,20040401
28,19960501,20010501,20040501
29,19960601,20010601,20040601
30,19960701,20010701,20040701
31,19960801,20010801,20040801
32,19960901,20010901,20040901
33,19961001,20011001,20041001
34,19961101,20011101,20041101
35,19961201,20011201,20041201
36,19970101,20020101,20050101
37,19970201,20020201,20050201
38,19970301,20020301,20050301
39,19970401,20020401,20050401
40,19970501,20020501,20050501
41,19970601,20020601,20050601
42,19970701,20020701,20050701
43,19970801,20020801,20050801
44,19970901,20020901,20050901
45,19971001,20021001,20051001
46,19971101,20021101,20051101
47,19971201,20021201,20051201
48,19980101,20030101,20060101
49,19980201,20030201,20060201
50,19980301,20030301,20060301
51,19980401,20030401,20060401
52,19980501,20030501,20060501
53,19980601,20030601,20060601
54,19980701,20030701,20060701
55,19980801,20030801,20060801
56,19980901,20030901,20060901
57,19981001,20031001,20061001
58,19981101,20031101,20061101
59,19981201,20031201,20061201
60,19990101,20040101,20070101
61,19990201,20040201,20070201
62,19990301,20040301,20070301
63,19990401,20040401,20070401
64,19990501,20040501,20070501
65,19990601,20040601,20070601
66,19990701,20040701,20070701
67,19990801,20040801,20070801
68,19990901,20040901,20070901
69,19991001,20041001,20071001
70,19991101,20041101,20071101
71,19991201,20041201,20071201
72,20000101,20050101,20080101
73,20000201,20050201,20080201
74,20000301,20050301,20080301
75,20000401,20050401,20080401
76,20000501,20050501,20080501
77,20000601,20050601,20080601
78,20000701,20050701,20080701
79,20000801,20050801,20080801
80,20000901,20050901,20080901
81,20001001,20051001,20081001
82,20001101,20051101,20081101
83,20001201,20051201,20081201
84,20010101,20060101,20090101
85,20010201,20060201,20090201
86,20010301,20060301,20090301
87,20010401,20060401,20090401
88,20010501,20060501,20090501
89,20010601,20060601,20090601
90,20010701,20060701,20090701
91,20010801,20060801,20090801
92,20010901,20060901,20090901
93,20011001,20061001,20091001
94,20011101,20061101,20091101
95,20011201,20061201,20091201
96,20020101,20070101,20100101
97,20020201,20070201,20100201
98,20020301,20070301,20100301
99,20020401,20070401,20100401
100,20020501,20070501,20100501
101,20020601,20070601,20100601
102,20020701,20070701,20100701
103,20020801,20070801,20100801
104,20020901,20070901,20100901
105,20021001,20071001,20101001
106,20021101,20071101,20101101
107,20021201,20071201,20101201
108,20030101,20080101,20110101
109,20030201,20080201,20110201
110,20030301,20080301,20110301
111,20030401,20080401,20110401
112,20030501,20080501,20110501
113,20030601,20080601,20110601
114,20030701,20080701,20110701
115,20030801,20080801,20110801
116,20030901,20080901,20110901
117,20031001,20081001,20111001
118,20031101,20081101,20111101
119,20031201,20081201,20111201
120,20040101,20090101,20120101
121,20040201,20090201,20120201
122,20040301,20090301,20120301
123,20040401,20090401,20120401
124,20040501,20090501,20120501
125,20040601,20090601,20120601
126,20040701,20090701,20120701
127,20040801,20090801,20120801
128,20040901,20090901,20120901
129,20041001,20091001,20121001
130,20041101,20091101,20121101
131,20041201,20091201,20121201
132,20050101,20100101,20130101
133,20050201,20100201,20130201
134,20050301,20100301,20130301
135,20050401,20100401,20130401
136,20050501,20100501,20130501
137,20050601,20100601,20130601
138,20050701,20100701,20130701
139,20050801,20100801,20130801
140,20050901,20100901,20130901
141,20051001,20101001,20131001
142,20051101,20101101,20131101
143,20051201,20101201,20131201
144,20060101,20110101,20140101
145,20060201,20110201,20140201
146,20060301,20110301,20140301
147,20060401,20110401,20140401
148,20060501,20110501,20140501
149,20060601,20110601,20140601
150,20060701,20110701,20140701
151,20060801,20110801,20140801
152,20060901,20110901,20140901
153,20061001,20111001,20141001
154,20061101,20111101,20141101
155,20061201,20111201,20141201
156,20070101,20120101,20150101
157,20070201,20120201,20150201
158,20070301,20120301,20150301
159,20070401,20120401,20150401
160,20070501,20120501,20150501
161,20070601,20120601,20150601
162,20070701,20120701,20150701
163,20070801,20120801,20150801
164,20070901,20120901,20150901
165,20071001,20121001,20151001
