S1,Sample Start Date,Tracking Start Date,Tracking End Date
0,19940101,19940201,19940301
1,19940201,19940301,19940401
2,19940301,19940401,19940501
3,19940401,19940501,19940601
4,19940501,19940601,19940701
5,19940601,19940701,19940801
6,19940701,19940801,19940901
7,19940801,19940901,19941001
8,19940901,19941001,19941101
9,19941001,19941101,19941201
10,19941101,19941201,19950101
11,19941201,19950101,19950201
12,19950101,19950201,19950301
13,19950201,19950301,19950401
14,19950301,19950401,19950501
15,19950401,19950501,19950601
16,19950501,19950601,19950701
17,19950601,19950701,19950801
18,19950701,19950801,19950901
19,19950801,19950901,19951001
20,19950901,19951001,19951101
21,19951001,19951101,19951201
22,19951101,19951201,19960101
23,19951201,19960101,19960201
24,19960101,19960201,19960301
25,19960201,19960301,19960401
26,19960301,19960401,19960501
27,19960401,19960501,19960601
28,19960501,19960601,19960701
29,19960601,19960701,19960801
30,19960701,19960801,19960901
31,19960801,19960901,19961001
32,19960901,19961001,19961101
33,19961001,19961101,19961201
34,19961101,19961201,19970101
35,19961201,19970101,19970201
36,19970101,19970201,19970301
37,19970201,19970301,19970401
38,19970301,19970401,19970501
39,19970401,19970501,19970601
40,19970501,19970601,19970701
41,19970601,19970701,19970801
42,19970701,19970801,19970901
43,19970801,19970901,19971001
44,19970901,19971001,19971101
45,19971001,19971101,19971201
46,19971101,19971201,19980101
47,19971201,19980101,19980201
48,19980101,19980201,19980301
49,19980201,19980301,19980401
50,19980301,19980401,19980501
51,19980401,19980501,19980601
52,19980501,19980601,19980701
53,19980601,19980701,19980801
54,19980701,19980801,19980901
55,19980801,19980901,19981001
56,19980901,19981001,19981101
57,19981001,19981101,19981201
58,19981101,19981201,19990101
59,19981201,19990101,19990201
60,19990101,19990201,19990301
61,19990201,19990301,19990401
62,19990301,19990401,19990501
63,19990401,19990501,19990601
64,19990501,19990601,19990701
65,19990601,19990701,19990801
66,19990701,19990801,19990901
67,19990801,19990901,19991001
68,19990901,19991001,19991101
69,19991001,19991101,19991201
70,19991101,19991201,20000101
71,19991201,20000101,20000201
72,20000101,20000201,20000301
73,20000201,20000301,20000401
74,20000301,20000401,20000501
75,20000401,20000501,20000601
76,20000501,20000601,20000701
77,20000601,20000701,20000801
78,20000701,20000801,20000901
79,20000801,20000901,20001001
80,20000901,20001001,20001101
81,20001001,20001101,20001201
82,20001101,20001201,20010101
83,20001201,20010101,20010201
84,20010101,20010201,20010301
85,20010201,20010301,20010401
86,20010301,20010401,20010501
87,20010401,20010501,20010601
88,20010501,20010601,20010701
89,20010601,20010701,20010801
90,20010701,20010801,20010901
91,20010801,20010901,20011001
92,20010901,20011001,20011101
93,20011001,20011101,20011201
94,20011101,20011201,20020101
95,20011201,20020101,20020201
96,20020101,20020201,20020301
97,20020201,20020301,20020401
98,20020301,20020401,20020501
99,20020401,20020501,20020601
100,20020501,20020601,20020701
101,20020601,20020701,20020801
102,20020701,20020801,20020901
103,20020801,20020901,20021001
104,20020901,20021001,20021101
105,20021001,20021101,20021201
106,20021101,20021201,20030101
107,20021201,20030101,20030201
108,20030101,20030201,20030301
109,20030201,20030301,20030401
110,20030301,20030401,20030501
111,20030401,20030501,20030601
112,20030501,20030601,20030701
113,20030601,20030701,20030801
114,20030701,20030801,20030901
115,20030801,20030901,20031001
116,20030901,20031001,20031101
117,20031001,20031101,20031201
118,20031101,20031201,20040101
119,20031201,20040101,20040201
120,20040101,20040201,20040301
121,20040201,20040301,20040401
122,20040301,20040401,20040501
123,20040401,20040501,20040601
124,20040501,20040601,20040701
125,20040601,20040701,20040801
126,20040701,20040801,20040901
127,20040801,20040901,20041001
128,20040901,20041001,20041101
129,20041001,20041101,20041201
130,20041101,20041201,20050101
131,20041201,20050101,20050201
132,20050101,20050201,20050301
133,20050201,20050301,20050401
134,20050301,20050401,20050501
135,20050401,20050501,20050601
136,20050501,20050601,20050701
137,20050601,20050701,20050801
138,20050701,20050801,20050901
139,20050801,20050901,20051001
140,20050901,20051001,20051101
141,20051001,20051101,20051201
142,20051101,20051201,20060101
143,20051201,20060101,20060201
144,20060101,20060201,20060301
145,20060201,20060301,20060401
146,20060301,20060401,20060501
147,20060401,20060501,20060601
148,20060501,20060601,20060701
149,20060601,20060701,20060801
150,20060701,20060801,20060901
151,20060801,20060901,20061001
152,20060901,20061001,20061101
153,20061001,20061101,20061201
154,20061101,20061201,20070101
155,20061201,20070101,20070201
156,20070101,20070201,20070301
157,20070201,20070301,20070401
158,20070301,20070401,20070501
159,20070401,20070501,20070601
160,20070501,20070601,20070701
161,20070601,20070701,20070801
162,20070701,20070801,20070901
163,20070801,20070901,20071001
164,20070901,20071001,20071101
165,20071001,20071101,20071201
166,20071101,20071201,20080101
167,20071201,20080101,20080201
168,20080101,20080201,20080301
169,20080201,20080301,20080401
170,20080301,20080401,20080501
171,20080401,20080501,20080601
172,20080501,20080601,20080701
173,20080601,20080701,20080801
174,20080701,20080801,20080901
175,20080801,20080901,20081001
176,20080901,20081001,20081101
177,20081001,20081101,20081201
178,20081101,20081201,20090101
179,20081201,20090101,20090201
180,20090101,20090201,20090301
181,20090201,20090301,20090401
182,20090301,20090401,20090501
183,20090401,20090501,20090601
184,20090501,20090601,20090701
185,20090601,20090701,20090801
186,20090701,20090801,20090901
187,20090801,20090901,20091001
188,20090901,20091001,20091101
189,20091001,20091101,20091201
190,20091101,20091201,20100101
191,20091201,20100101,20100201
192,20100101,20100201,20100301
193,20100201,20100301,20100401
194,20100301,20100401,20100501
195,20100401,20100501,20100601
196,20100501,20100601,20100701
197,20100601,20100701,20100801
198,20100701,20100801,20100901
199,20100801,20100901,20101001
200,20100901,20101001,20101101
201,20101001,20101101,20101201
202,20101101,20101201,20110101
203,20101201,20110101,20110201
204,20110101,20110201,20110301
205,20110201,20110301,20110401
206,20110301,20110401,20110501
207,20110401,20110501,20110601
208,20110501,20110601,20110701
209,20110601,20110701,20110801
210,20110701,20110801,20110901
211,20110801,20110901,20111001
212,20110901,20111001,20111101
213,20111001,20111101,20111201
214,20111101,20111201,20120101
215,20111201,20120101,20120201
216,20120101,20120201,20120301
217,20120201,20120301,20120401
218,20120301,20120401,20120501
219,20120401,20120501,20120601
220,20120501,20120601,20120701
221,20120601,20120701,20120801
222,20120701,20120801,20120901
223,20120801,20120901,20121001
224,20120901,20121001,20121101
225,20121001,20121101,20121201
226,20121101,20121201,20130101
227,20121201,20130101,20130201
228,20130101,20130201,20130301
229,20130201,20130301,20130401
230,20130301,20130401,20130501
231,20130401,20130501,20130601
232,20130501,20130601,20130701
233,20130601,20130701,20130801
234,20130701,20130801,20130901
235,20130801,20130901,20131001
236,20130901,20131001,20131101
237,20131001,20131101,20131201
238,20131101,20131201,20140101
239,20131201,20140101,20140201
240,20140101,20140201,20140301
241,20140201,20140301,20140401
242,20140301,20140401,20140501
243,20140401,20140501,20140601
244,20140501,20140601,20140701
245,20140601,20140701,20140801
246,20140701,20140801,20140901
247,20140801,20140901,20141001
248,20140901,20141001,20141101
249,20141001,20141101,20141201
250,20141101,20141201,20150101
251,20141201,20150101,20150201
252,20150101,20150201,20150301
253,20150201,20150301,20150401
254,20150301,20150401,20150501
255,20150401,20150501,20150601
256,20150501,20150601,20150701
257,20150601,20150701,20150801
258,20150701,20150801,20150901
259,20150801,20150901,20151001
260,20150901,20151001,20151101
261,20151001,20151101,20151201
262,20151101,20151201,20160101
S2,Sample Start Date,Tracking Start Date,Tracking End Date
0,19940101,19940301,19940401
1,19940201,19940401,19940501
2,19940301,19940501,19940601
3,19940401,19940601,19940701
4,19940501,19940701,19940801
5,19940601,19940801,19940901
6,19940701,19940901,19941001
7,19940801,19941001,19941101
8,19940901,19941101,19941201
9,19941001,19941201,19950101
10,19941101,19950101,19950201
11,19941201,19950201,19950301
12,19950101,19950301,19950401
13,19950201,19950401,19950501
14,19950301,19950501,19950601
15,19950401,19950601,19950701
16,19950501,19950701,19950801
17,19950601,19950801,19950901
18,19950701,19950901,19951001
19,19950801,19951001,19951101
20,19950901,19951101,19951201
21,19951001,19951201,19960101
22,19951101,19960101,19960201
23,19951201,19960201,19960301
24,19960101,19960301,19960401
25,19960201,19960401,19960501
26,19960301,19960501,19960601
27,19960401,19960601,19960701
28,19960501,19960701,19960801
29,19960601,19960801,19960901
30,19960701,19960901,19961001
31,19960801,19961001,19961101
32,19960901,19961101,19961201
33,19961001,19961201,19970101
34,19961101,19970101,19970201
35,19961201,19970201,19970301
36,19970101,19970301,19970401
37,19970201,19970401,19970501
38,19970301,19970501,19970601
39,19970401,19970601,19970701
40,19970501,19970701,19970801
41,19970601,19970801,19970901
42,19970701,19970901,19971001
43,19970801,19971001,19971101
44,19970901,19971101,19971201
45,19971001,19971201,19980101
46,19971101,19980101,19980201
47,19971201,19980201,19980301
48,19980101,19980301,19980401
49,19980201,19980401,19980501
50,19980301,19980501,19980601
51,19980401,19980601,19980701
52,19980501,19980701,19980801
53,19980601,19980801,19980901
54,19980701,19980901,19981001
55,19980801,19981001,19981101
56,19980901,19981101,19981201
57,19981001,19981201,19990101
58,19981101,19990101,19990201
59,19981201,19990201,19990301
60,19990101,19990301,19990401
61,19990201,19990401,19990501
62,19990301,19990501,19990601
63,19990401,19990601,19990701
64,19990501,19990701,19990801
65,19990601,19990801,19990901
66,19990701,19990901,19991001
67,19990801,19991001,19991101
68,19990901,19991101,19991201
69,19991001,19991201,20000101
70,19991101,20000101,20000201
71,19991201,20000201,20000301
72,20000101,20000301,20000401
73,20000201,20000401,20000501
74,20000301,20000501,20000601
75,20000401,20000601,20000701
76,20000501,20000701,20000801
77,20000601,20000801,20000901
78,20000701,20000901,20001001
79,20000801,20001001,20001101
80,20000901,20001101,20001201
81,20001001,20001201,20010101
82,20001101,20010101,20010201
83,20001201,20010201,20010301
84,20010101,20010301,20010401
85,20010201,20010401,20010501
86,20010301,20010501,20010601
87,20010401,20010601,20010701
88,20010501,20010701,20010801
89,20010601,20010801,20010901
90,20010701,20010901,20011001
91,20010801,20011001,20011101
92,20010901,20011101,20011201
93,20011001,20011201,20020101
94,20011101,20020101,20020201
95,20011201,20020201,20020301
96,20020101,20020301,20020401
97,20020201,20020401,20020501
98,20020301,20020501,20020601
99,20020401,20020601,20020701
100,20020501,20020701,20020801
101,20020601,20020801,20020901
102,20020701,20020901,20021001
103,20020801,20021001,20021101
104,20020901,20021101,20021201
105,20021001,20021201,20030101
106,20021101,20030101,20030201
107,20021201,20030201,20030301
108,20030101,20030301,20030401
109,20030201,20030401,20030501
110,20030301,20030501,20030601
111,20030401,20030601,20030701
112,20030501,20030701,20030801
113,20030601,20030801,20030901
114,20030701,20030901,20031001
115,20030801,20031001,20031101
116,20030901,20031101,20031201
117,20031001,20031201,20040101
118,20031101,20040101,20040201
119,20031201,20040201,20040301
120,20040101,20040301,20040401
121,20040201,20040401,20040501
122,20040301,20040501,20040601
123,20040401,20040601,20040701
124,20040501,20040701,20040801
125,20040601,20040801,20040901
126,20040701,20040901,20041001
127,20040801,20041001,20041101
128,20040901,20041101,20041201
129,20041001,20041201,20050101
130,20041101,20050101,20050201
131,20041201,20050201,20050301
132,20050101,20050301,20050401
133,20050201,20050401,20050501
134,20050301,20050501,20050601
135,20050401,20050601,20050701
136,20050501,20050701,20050801
137,20050601,20050801,20050901
138,20050701,20050901,20051001
139,20050801,20051001,20051101
140,20050901,20051101,20051201
141,20051001,20051201,20060101
142,20051101,20060101,20060201
143,20051201,20060201,20060301
144,20060101,20060301,20060401
145,20060201,20060401,20060501
146,20060301,20060501,20060601
147,20060401,20060601,20060701
148,20060501,20060701,20060801
149,20060601,20060801,20060901
150,20060701,20060901,20061001
151,20060801,20061001,20061101
152,20060901,20061101,20061201
153,20061001,20061201,20070101
154,20061101,20070101,20070201
155,20061201,20070201,20070301
156,20070101,20070301,20070401
157,20070201,20070401,20070501
158,20070301,20070501,20070601
159,20070401,20070601,20070701
160,20070501,20070701,20070801
161,20070601,20070801,20070901
162,20070701,20070901,20071001
163,20070801,20071001,20071101
164,20070901,20071101,20071201
165,20071001,20071201,20080101
166,20071101,20080101,20080201
167,20071201,20080201,20080301
168,20080101,20080301,20080401
169,20080201,20080401,20080501
170,20080301,20080501,20080601
171,20080401,20080601,20080701
172,20080501,20080701,20080801
173,20080601,20080801,20080901
174,20080701,20080901,20081001
175,20080801,20081001,20081101
176,20080901,20081101,20081201
177,20081001,20081201,20090101
178,20081101,20090101,20090201
179,20081201,20090201,20090301
180,20090101,20090301,20090401
181,20090201,20090401,20090501
182,20090301,20090501,20090601
183,20090401,20090601,20090701
184,20090501,20090701,20090801
