Server Version:76
TWS Time at connection:20160607 09:47:49 AEST
Got account: DU289674
Connected
Account=DU289674
message: id=-1, errorCode=2107, msg=HMDS data farm connection is inactive but should be available upon demand.ushmds
REQ EXECUTIONS Start
Order Id=18
-- little sleep --
ACCOUNT: account=DU289674 key=AccountCode value=DU289674 currency=null
ACCOUNT: account=DU289674 key=AccountOrGroup value=DU289674 currency=AUD
ACCOUNT: account=DU289674 key=AccountOrGroup value=DU289674 currency=BASE
ACCOUNT: account=DU289674 key=AccountOrGroup value=DU289674 currency=USD
ACCOUNT: account=DU289674 key=AccountReady value=true currency=null
ACCOUNT: account=DU289674 key=AccountType value=TRUST currency=null
ACCOUNT: account=DU289674 key=AccruedCash value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=AccruedCash value=0 currency=BASE
ACCOUNT: account=DU289674 key=AccruedCash value=0 currency=USD
ACCOUNT: account=DU289674 key=AccruedCash-C value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=AccruedCash-S value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=AccruedDividend value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=AccruedDividend-C value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=AccruedDividend-S value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=AvailableFunds value=1120311.15 currency=AUD
ACCOUNT: account=DU289674 key=AvailableFunds-C value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=AvailableFunds-S value=1120311.15 currency=AUD
ACCOUNT: account=DU289674 key=Billable value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=Billable-C value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=Billable-S value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=BuyingPower value=4481244.59 currency=AUD
ACCOUNT: account=DU289674 key=CashBalance value=-23 currency=AUD
ACCOUNT: account=DU289674 key=CashBalance value=346881 currency=BASE
ACCOUNT: account=DU289674 key=CashBalance value=255692 currency=USD
ACCOUNT: account=DU289674 key=CorporateBondValue value=0 currency=AUD
ACCOUNT: account=DU289674 key=CorporateBondValue value=0 currency=BASE
ACCOUNT: account=DU289674 key=CorporateBondValue value=0 currency=USD
ACCOUNT: account=DU289674 key=Cushion value=0.812926 currency=null
ACCOUNT: account=DU289674 key=DayTradesRemaining value=-1 currency=null
ACCOUNT: account=DU289674 key=DayTradesRemainingT+1 value=-1 currency=null
ACCOUNT: account=DU289674 key=DayTradesRemainingT+2 value=-1 currency=null
ACCOUNT: account=DU289674 key=DayTradesRemainingT+3 value=-1 currency=null
ACCOUNT: account=DU289674 key=DayTradesRemainingT+4 value=-1 currency=null
ACCOUNT: account=DU289674 key=EquityWithLoanValue value=1378122.24 currency=AUD
ACCOUNT: account=DU289674 key=EquityWithLoanValue-C value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=EquityWithLoanValue-S value=1378122.24 currency=AUD
ACCOUNT: account=DU289674 key=ExcessLiquidity value=1120311.15 currency=AUD
ACCOUNT: account=DU289674 key=ExcessLiquidity-C value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=ExcessLiquidity-S value=1120311.15 currency=AUD
ACCOUNT: account=DU289674 key=ExchangeRate value=1.00 currency=AUD
ACCOUNT: account=DU289674 key=ExchangeRate value=1.00 currency=BASE
ACCOUNT: account=DU289674 key=ExchangeRate value=1.3567232 currency=USD
ACCOUNT: account=DU289674 key=FullAvailableFunds value=1120311.15 currency=AUD
ACCOUNT: account=DU289674 key=FullAvailableFunds-C value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=FullAvailableFunds-S value=1120311.15 currency=AUD
ACCOUNT: account=DU289674 key=FullExcessLiquidity value=1120311.15 currency=AUD
ACCOUNT: account=DU289674 key=FullExcessLiquidity-C value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=FullExcessLiquidity-S value=1120311.15 currency=AUD
ACCOUNT: account=DU289674 key=FullInitMarginReq value=257811.09 currency=AUD
ACCOUNT: account=DU289674 key=FullInitMarginReq-C value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=FullInitMarginReq-S value=257811.09 currency=AUD
