Companuy,search_range_start,search_range_end
Agilent Technologies ,22/07/2002,24/07/2002
Agilent Technologies ,30/08/2002,3/09/2002
Agilent Technologies ,30/09/2002,2/10/2002
Agilent Technologies ,10/08/2004,12/08/2004
Agilent Technologies ,19/07/2006,21/07/2006
Agilent Technologies ,12/02/2008,14/02/2008
Agilent Technologies ,11/04/2008,15/04/2008
Agilent Technologies ,30/09/2008,2/10/2008
Agilent Technologies ,30/10/2008,3/11/2008
Agilent Technologies ,27/11/2008,1/12/2008
Agilent Technologies ,31/12/2008,2/01/2009
Agilent Technologies ,29/09/2011,3/10/2011
Agilent Technologies ,10/10/2014,14/10/2014
Agilent Technologies ,28/01/2015,30/01/2015
Agilent Technologies ,18/08/2015,20/08/2015
Agilent Technologies ,29/09/2015,1/10/2015
Alcoa ,25/08/1998,27/08/1998
Alcoa ,15/09/2000,19/09/2000
Alcoa ,11/07/2002,15/07/2002
Alcoa ,30/08/2002,3/09/2002
Alcoa ,27/09/2002,1/10/2002
Alcoa ,21/01/2005,25/01/2005
Alcoa ,9/05/2005,11/05/2005
Alcoa ,29/06/2005,1/07/2005
Alcoa ,21/09/2005,23/09/2005
Alcoa ,15/01/2008,17/01/2008
Alcoa ,2/09/2008,4/09/2008
Alcoa ,30/10/2008,3/11/2008
Alcoa ,27/11/2008,1/12/2008
Alcoa ,29/06/2010,1/07/2010
Alcoa ,4/08/2011,8/08/2011
Alcoa ,16/09/2011,20/09/2011
Alcoa ,21/11/2011,23/11/2011
Alcoa ,15/04/2013,17/04/2013
Alcoa ,20/06/2013,24/06/2013
Alcoa ,27/05/2015,29/05/2015
Alcoa ,29/06/2015,1/07/2015
Alcoa ,30/07/2015,3/08/2015
AAC Holdings ,5/02/1997,7/02/1997
AAI,13/06/1996,17/06/1996
AAI,7/01/2005,11/01/2005
AAI,6/09/2006,8/09/2006
AAI,6/11/2007,8/11/2007
AAI,31/12/2007,2/01/2008
AAI,28/02/2008,3/03/2008
AAI,9/04/2008,11/04/2008
AAI,29/05/2008,2/06/2008
AAII,18/03/2004,22/03/2004
AAMR,31/08/1998,2/09/1998
AAMR,1/10/1998,5/10/1998
AAMR,21/02/2000,23/02/2000
AAMR,6/09/2001,10/09/2001
AAMR,30/10/2001,1/11/2001
AAMR,12/07/2002,16/07/2002
AAMR,30/08/2002,3/09/2002
AAMR,27/09/2002,1/10/2002
AAMR,14/07/2004,16/07/2004
AAMR,22/09/2004,24/09/2004
AAMR,10/12/2007,12/12/2007
AAMR,5/03/2008,7/03/2008
AAMR,18/04/2008,22/04/2008
AAMR,16/02/2009,18/02/2009
AAMR,19/04/2011,21/04/2011
AAMR,19/07/2011,21/07/2011
AAMR,30/08/2011,1/09/2011
AAMR,29/09/2011,3/10/2011
AAMR,25/11/2011,29/11/2011
Aarons  ,4/09/2013,6/09/2013
Aarons  ,10/01/2014,14/01/2014
Aarons  ,29/09/2014,1/10/2014
Aarons  ,28/10/2015,30/10/2015
Aarons  ,3/12/2015,7/12/2015
Aarons  ,18/09/2007,20/09/2007
ZOLT,11/04/2008,15/04/2008
ZOLT,6/10/2008,8/10/2008
ZOMX,20/09/2000,22/09/2000
ZONS,12/04/2000,14/04/2000
ZRAN,20/11/2000,22/11/2000
ZRAN,29/12/2000,2/01/2001
ZRAN,23/07/2002,25/07/2002
ZRAN,30/08/2002,3/09/2002
ZRAN,1/10/2002,3/10/2002
ZRAN,4/10/2004,6/10/2004
ZRAN,8/12/2004,10/12/2004
ZRAN,25/01/2008,29/01/2008
ZRAN,28/02/2008,3/03/2008
ZSL,28/10/2010,1/11/2010
ZSL,29/11/2010,1/12/2010
ZSL,5/09/2012,7/09/2012
Zoetis ,7/02/2014,11/02/2014
Zoetis ,11/03/2014,13/03/2014
Zoetis ,9/04/2014,11/04/2014
Zumiez ,6/11/2007,8/11/2007
Zumiez ,4/12/2007,6/12/2007
Zumiez ,4/02/2008,6/02/2008
Zumiez ,30/08/2011,1/09/2011
Zumiez ,30/10/2012,1/11/2012
Zumiez ,29/11/2012,3/12/2012
Zumiez ,3/06/2015,5/06/2015
Zumiez ,9/09/2015,11/09/2015
TrueCar ,30/06/2015,2/07/2015
TrueCar ,30/07/2015,3/08/2015
