S1,Sample start,Track start,Track end,,
0,19940101,19990101,19990701,,
1,19950101,20000101,20000701,,
2,19960101,20010101,20010701,,
3,19970101,20020101,20020701,,
4,19980101,20030101,20030701,,
5,19990101,20040101,20040701,,
6,20000101,20050101,20050701,,
7,20010101,20060101,20060701,,
8,20020101,20070101,20070701,,
9,20030101,20080101,20080701,,
10,20040101,20090101,20090701,,
11,20050101,20100101,20100701,,
12,20060101,20110101,20110701,,
13,20070101,20120101,20120701,,
14,20080101,20130101,20130701,,
15,20090101,20140101,20140701,,
S2,,,,,
0,19940101,20000101,20000701,,
1,19950101,20010101,20010701,,
2,19960101,20020101,20020701,,
3,19970101,20030101,20030701,,
4,19980101,20040101,20040701,,
5,19990101,20050101,20050701,,
6,20000101,20060101,20060701,,
7,20010101,20070101,20070701,,
8,20020101,20080101,20080701,,
9,20030101,20090101,20090701,,
10,20040101,20100101,20100701,,
11,20050101,20110101,20110701,,
12,20060101,20120101,20120701,,
13,20070101,20130101,20130701,,
14,20080101,20140101,20140701,,
S3,,,,,
0,19940101,20010101,20010701,,
1,19950101,20020101,20020701,,
2,19960101,20030101,20030701,,
3,19970101,20040101,20040701,,
4,19980101,20050101,20050701,,
5,19990101,20060101,20060701,,
6,20000101,20070101,20070701,,
7,20010101,20080101,20080701,,
8,20020101,20090101,20090701,,
9,20030101,20100101,20100701,,
10,20040101,20110101,20110701,,
11,20050101,20120101,20120701,,
12,20060101,20130101,20130701,,
13,20070101,20140101,20140701,,
S4,,,,,
0,19940101,20020101,20020701,,
1,19950101,20030101,20030701,,
2,19960101,20040101,20040701,,
3,19970101,20050101,20050701,,
4,19980101,20060101,20060701,,
5,19990101,20070101,20070701,,
6,20000101,20080101,20080701,,
7,20010101,20090101,20090701,,
8,20020101,20100101,20100701,,
9,20030101,20110101,20110701,,
10,20040101,20120101,20120701,,
11,20050101,20130101,20130701,,
12,20060101,20140101,20140701,,
S5,,,,,
0,19940101,20030101,20030701,,
1,19950101,20040101,20040701,,
2,19960101,20050101,20050701,,
3,19970101,20060101,20060701,,
4,19980101,20070101,20070701,,
5,19990101,20080101,20080701,,
6,20000101,20090101,20090701,,
7,20010101,20100101,20100701,,
8,20020101,20110101,20110701,,
9,20030101,20120101,20120701,,
10,20040101,20130101,20130701,,
11,20050101,20140101,20140701,,
S6,,,,,
0,19940101,20040101,20040701,,
1,19950101,20050101,20050701,,
2,19960101,20060101,20060701,,
3,19970101,20070101,20070701,,
4,19980101,20080101,20080701,,
5,19990101,20090101,20090701,,
6,20000101,20100101,20100701,,
7,20010101,20110101,20110701,,
8,20020101,20120101,20120701,,
9,20030101,20130101,20130701,,
10,20040101,20140101,20140701,,
S7,,,,,
0,19940101,19990101,20000101,,
1,19950101,20000101,20010101,,
2,19960101,20010101,20020101,,
3,19970101,20020101,20030101,,
4,19980101,20030101,20040101,,
5,19990101,20040101,20050101,,
6,20000101,20050101,20060101,,
7,20010101,20060101,20070101,,
8,20020101,20070101,20080101,,
9,20030101,20080101,20090101,,
10,20040101,20090101,20100101,,
11,20050101,20100101,20110101,,
12,20060101,20110101,20120101,,
13,20070101,20120101,20130101,,
14,20080101,20130101,20140101,,
S8,,,,,
0,19940101,20000101,20010101,,
1,19950101,20010101,20020101,,
2,19960101,20020101,20030101,,
3,19970101,20030101,20040101,,
4,19980101,20040101,20050101,,
5,19990101,20050101,20060101,,
6,20000101,20060101,20070101,,
7,20010101,20070101,20080101,,
8,20020101,20080101,20090101,,
9,20030101,20090101,20100101,,
10,20040101,20100101,20110101,,
11,20050101,20110101,20120101,,
12,20060101,20120101,20130101,,
13,20070101,20130101,20140101,,
S9,,,,,
0,19940101,20010101,20020101,,
1,19950101,20020101,20030101,,
2,19960101,20030101,20040101,,
